"accepted_taxa","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Zaleya pentandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zantedeschia aethiopica",NA,NA,NA,NA,NA,NA,NA,"Zantedeschia aethiopica","2","Local non-specific dispersal",0.815,20.26
"Zanthoxylum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zea mays",NA,NA,NA,NA,NA,NA,NA,"Zea mays","2","Local non-specific dispersal",2.116,175.06
"Zehneria capillacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zehneria emirnensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zehneria thwaitesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ziziphus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ziziphus mauritiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zornia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zornia glochidiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zornia latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
